idiom,part_of_speech,word_url
at the top of one's lungs,prepositional phrase,https://en.wiktionary.org/wiki/at_the_top_of_one's_lungs#English
at the wheel,prepositional phrase,https://en.wiktionary.org/wiki/at_the_wheel#English
at this point in time,prepositional phrase,https://en.wiktionary.org/wiki/at_this_point_in_time#English
Attic salt,noun,https://en.wiktionary.org/wiki/Attic_salt#English
at times,prepositional phrase,https://en.wiktionary.org/wiki/at_times#English
at will,adjective,https://en.wiktionary.org/wiki/at_will#English
Augean stables,noun,https://en.wiktionary.org/wiki/Augean_stables#English
auld lang syne,noun,https://en.wiktionary.org/wiki/auld_lang_syne#English
autem cackler,noun,https://en.wiktionary.org/wiki/autem_cackler#English
autem dipper,noun,https://en.wiktionary.org/wiki/autem_dipper#English
autem diver,noun,https://en.wiktionary.org/wiki/autem_diver#English
autem mort,noun,https://en.wiktionary.org/wiki/autem_mort#English
autumn romance,noun,https://en.wiktionary.org/wiki/autumn_romance#English
avant la lettre,adjective,https://en.wiktionary.org/wiki/avant_la_lettre#English
average bear,noun,https://en.wiktionary.org/wiki/average_bear#English
average joe,noun,https://en.wiktionary.org/wiki/average_joe#English
average up,verb,https://en.wiktionary.org/wiki/average_up#English
away with you,phrase,https://en.wiktionary.org/wiki/away_with_you#English
away game,noun,https://en.wiktionary.org/wiki/away_game#English
away with the fairies,adjective,https://en.wiktionary.org/wiki/away_with_the_fairies#English
"aye aye, sir",phrase,"https://en.wiktionary.org/wiki/aye_aye,_sir#English"
babe in arms,noun,https://en.wiktionary.org/wiki/babe_in_arms#English
babe in the woods,noun,https://en.wiktionary.org/wiki/babe_in_the_woods#English
babe magnet,noun,https://en.wiktionary.org/wiki/babe_magnet#English
babies in the eyes,noun,https://en.wiktionary.org/wiki/babies_in_the_eyes#English
baby elephant in the room,noun,https://en.wiktionary.org/wiki/baby_elephant_in_the_room#English
babysitter test,proper noun,https://en.wiktionary.org/wiki/babysitter_test#English
